,Chemical Formula,Composition,Empirical Formula,Environment,IMA Status,Locality,Name Origin,Name Pronunciation,Synonym,Cell Dimensions,Cleavage,Color,Density,Diaphaneity,Fracture,Habit,Hardness,Luster,Fermion Index,Photoelectric,Radioactivity,Dana Class,Strunz Class,References,Mineral name,Streak,Gladstone-Dale,Optical Data
0, Ni++C31H32N4, Molecular Weight = 519.31 gm, NiC31H32N4," Fractures in lacusterine, kerogen-rich shales.", Approved IMA 1975," Green River formation, eastern Uintah Co., Utah, USA. Link to MinDat.org Location Data."," Named after Philip H. Abelson, president, the Carnegie Institution, Washington, DC, a pioneer in organic geochemistry.", Abelsonite + Pronunciation, Nickel Porphyrin," a = 8.44, b = 11.12, c = 7.28, Z = 1; alpha = 90.83°, beta = 113.75°, gamma = 79.567° V = 614.98 Den(Calc)= 1.40", {111} Good," Pinkish red, Purple, Reddish brown.", 1.45, Translucent, Fragile - Crystals with a delicate and easily injured structure., Platy - Sheet forms (e.g. micas)., 2-2.5 - Gypsum-Finger Nail, Sub Metallic," Fermion Index = 0.11
Boson Index = 0.89"," PEAbelsonite = 4.28 barns/electron
U=PEAbelsonite x rElectron Density= 6.32 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Abelsonite is Not Radioactive", 50.04.09.01 (50)Salts of Organic Acids, 10.CA.20 10 - ORGANIC COMPOUNDS," NAME( Dana8) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990)",Abelsonite,,,
1, Na26REE6(SiO3)6(PO4)6(CO3)6(S++++O2)O," Molecular Weight = 2,928.18 gm", Na26REE6(SiO3)6(PO4)6(CO3)6(SO2)O, A single crystal embedded in sodalite in a xenolith of sodalite syenite., Approved IMA 1994," Poudrette Quarry, Mont Saint-Hilaire, Rouville County, Quebec, Canada. Link to MinDat.org Location Data."," For the Abenaki Indian tribe, which inhabited the area around Mont Saint-Hilaire.", Abenakiite-(Ce) + Pronunciation, ICSD 79159," a = 16.018, c = 19.761, Z = 3; V = 4,390.93 Den(Calc)= 3.32", {0001} Poor, Pale brown., 3.21, Transparent," Brittle - Conchoidal - Very brittle fracture producing small, conchoidal fragments.", Euhedral Crystals - Occurs as well-formed crystals showing good external form., 4 - Fluorite, Vitreous (Glassy)," Fermion Index = 0.05
Boson Index = 0.95"," PEAbenakiite-(Ce) = 178.05 barns/electron
U=PEAbenakiite-(Ce) x relectron= 557.99 barns/cc.",, 61.04.01.01 (61)Cyclosilicate Six-Membered Rings, 09.CK.10 09 - SILICATES (Germanates)," NAME( MinRec) PHYS. PROP.(37th List of New Min.,Min. Mag.,1996) OPTIC PROP.(MinRec)",Abenakiite-(Ce), white," CI meas= -0.051 (Good) - where the CI = (1-KPDmeas/KC)
CI calc= -0.016 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.177,KPDmeas= 0.183,KC= 0.1741
Ncalc = 1.56 - 1.58"," Uniaxial (-), e=1.586, w=1.589, bire=0.0030."
2, K(UO2)(AsO4)•4(H2O), Molecular Weight = 520.11 gm, K(UO2)(AsO4)•4(H2O), Rare secondary mineral coating fractures in bleached asphaltic sandstone hosting a Colorado Plateau-type uranium deposit., Valid Species (Pre-IMA) 1956," Fuemrol No. 2 mine, Temple Mountain, Emery County, USA. Link to MinDat.org Location Data."," Named for Jess Abernathy, Moab, Utah, mine owner who found the first specimens.", Abernathyite + Pronunciation, ICSD 15481," a = 7.17, c = 9.08, Z = 2; V = 466.79 Den(Calc)= 3.70", {001} Perfect, Yellow.," 3.31 - 3.57, Average = 3.44", Transparent, Brittle - Generally displayed by glasses and most non-metallic minerals., Tabular - Form dimensions are thin in one direction., 2-3 - Gypsum-Calcite, Vitreous (Glassy)," Fermion Index = 0.003454114
Boson Index = 0.996545886"," PEAbernathyite =1,175.18 barns/electron
U=PEAbernathyite x relectron=3,879.12 barns/cc.",," 40.02a.09.01 (40)Hydrated Phosphates, etc"," 08.EB.15 08 - PHOSPHATES, ARSENATES, VANADATES"," NAME( AntBidBlaNic4) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Abernathyite, yellow," CI meas= -0.112 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= -0.034 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1577,KPDmeas= 0.1696,KC= 0.1526
Ncalc = 1.51 - 1.56"," Uniaxial (-), e=1.57, w=1.597, bire=0.0270."
3, Sn3O(OH)2Cl2, Molecular Weight = 477.05 gm, Sn3O(OH)2Cl2, Found on ship-wrecked corroded tin ingots., Approved IMA 1983," Sharm Abhur, a cove in the Red Sea, Saudi Arabia, Jiddah, Red Sea Link to MinDat.org Location Data.", Named for its locality., Abhurite, ICSD 15581," a = 10.018, c = 44.03, Z = 21; V = 3,826.85 Den(Calc)= 4.35", None, Colorless.," 4.29 - 4.34, Average = 4.31", Transparent," Hackly - Jagged, torn surfaces, (e.g. fractured metals).", Euhedral Crystals - Occurs as well-formed crystals showing good external form., 2 - Gypsum, Chatoyant," Fermion Index = 0.12
Boson Index = 0.88"," PEAbhurite = 234.54 barns/electron
U=PEAbhurite x rElectron Density= 898.24 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Abhurite is Not Radioactive", 10.05.09.01 (10)Oxyhalides and Hydroxyhalides, 03.DA.30 03 - HALIDES," NAME( Dana8) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Abhurite, white," CI meas= -0.409 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= -0.398 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2494,KPDmeas= 0.2514,KC= 0.1784
Ncalc = 1.77 - 1.78"," Uniaxial (+), w=2.06, e=2.11, bire=0.0500."
4, Pb2SnInBiS7," Molecular Weight = 1,066.44 gm", Pb1.92Sn1.09In1.06Bi0.89S6.9Se0.13, Found as a fumarole crust at 600-620°C. Cylindrite family., Approved IMA 2006 (Dana # Added)," Kudryavy volcano, Iturup Island, Kurile Islands, Russia Link to MinDat.org Location Data."," Named for Dmitry Abramov, Russian mineralogist.",, IMA2006-016," a = 23.4, b = 5.77, c = 5.83, Z = 4; alpha = 89.1°, beta = 89.9°, gamma = 91.5° V = 786.79 Den(Calc)= 9.00",, Silver gray.,, Opaque,, Encrustations - Forms crust-like aggregates on matrix.,, Metallic," Fermion Index = 0.1
Boson Index = 0.9"," PEAbramovite =1,081.69 barns/electron
U=PEAbramovite x rElectron Density=8,262.78 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Abramovite is Not Radioactive", 03.01.04.05 (03)Sulfides - Sulfosalts," 02.HF.25a 02 - SULFIDES and SULFOSALTS (sulfides, selenides, tellurides; arsenides, antimonides, bismuthides; sulfarsenites, sulf",,Abramovite, black,,
5," (Na,K,Ca)1-2(Si,Al)8O16•6(H2O)", Molecular Weight = 649.86 gm, Na0.9Ca0.5K0.6Si5.2Al2.8O16•6(H2O)," Common zeolite in volcanic rocks, ore veins, diagenetically altered rhyolitic vitric tuffs, saline lake deposits, and ocean floor sediments.", Valid Species (Pre-IMA) 1825," Aci Castello, on the slopes of Mount Etna, Sicily, Italy. Link to MinDat.org Location Data."," Named after William Phillips (1775-1829), English mineralogist and founder of the Geological Society of London. Na modifier added by zeolite nomenclature committee.", Phillipsite-Na + Pronunciation, Abrazite," a = 9.9, b = 14.1, c = 8.66, Z = 2; beta = 124.75° V = 993.25 Den(Calc)= 2.17"," {010} Distinct, {001} Indistinct"," White, Reddish white, Light yellow, Pink.", 2.2, Translucent to opaque, Uneven - Flat surfaces (not cleavage) fractured in an uneven pattern., Twinning Common - Crystals are usually twinned., 4-5 - Fluorite-Apatite, Vitreous (Glassy)," Fermion Index = 0.01
Boson Index = 0.99"," PEPhillipsite-Na = 2.02 barns/electron
U=PEPhillipsite-Na x relectron= 4.43 barns/cc.","
GRapi = 52.67 (Gamma Ray American Petroleum Institute Units)
Concentration of Phillipsite-Na per GRapi unit = 1.90 (%)
Estimated Radioactivity from Phillipsite-Na - barely detectable", 77.01.03.06 (77)Tectosilicate Zeolite group, 09.GC.10 09 - SILICATES (Germanates)," NAME( Duda&Rejl90) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Dana8)",Phillipsite-Na, white," CI meas= 0.008 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= -0.006 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2291,KPDmeas= 0.226,KC= 0.2278
Ncalc = 1.49 - 1.5"," Biaxial (+/-), a=1.483-1.505, b=1.484-1.511, g=1.486-1.514, bire=0.0030-0.0090, 2V(Calc)=70-72, 2V(Meas)=60-90. Dispersion r > v or r < v."
6, Cu++Mn+++6SiO12, Molecular Weight = 615.45 gm, Cu0.9Mn2+0.2Mn3+5.5Fe3+0.4Al0.1SiO12," In very low-grade, high pressure metamorphic Mn, Al-rich sediments.", Approved IMA 1991," Milli, Avia and Andros Island, Greece. Link to MinDat.org Location Data."," Named for Irmgard Abs-Wurmbach (1938-), German mineralogist.", Abswurmbachite + Pronunciation, ICSD 71823," a = 9.406, c = 18.546, Z = 8; V = 1,640.82 Den(Calc)= 4.98", None," Black, Dark brown.", 4.96, Opaque,,, 6.5 - Pyrite, Metallic," Fermion Index = 0.0030503228
Boson Index = 0.9969496772"," PEAbswurmbachite = 18.79 barns/electron
U=PEAbswurmbachite x rElectron Density= 88.29 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Abswurmbachite is Not Radioactive", 07.05.01.04 (07)Multiple Oxides, 09.AG.05 09 - SILICATES (Germanates)," NAME( AntBidBlaNic2) PHYS. PROP.(37th List of New Min.,Min. Mag.,1996)",Abswurmbachite, brownish black,," NCalc= 2.37 - from Gladstone-Dale relationship (KC = 0.275) where Ncalc=Dcalc*KC+1
NCalc= 2.36 - from Gladstone-Dale relationship (KC = 0.275) where Ncalc=Dmeas*KC+1"
7," (Y,Ca)5(SiO4,PO4)3(OH,F)", Molecular Weight = 642.79 gm, Y3Ca2(SiO4)2.25(PO4)0.75(OH)0.75F0.25, In pegmatites., Approved IMA 1966," In the Suishoyama pegmatite, near Iisaka, Fukushima Prefecture, Japan Link to MinDat.org Location Data."," From the Greek for weight, in allusion to its density and the content of Y", Britholite-(Y) + Pronunciation, Abukumalite," a = 9.43, c = 6.81, Z = 2; V = 524.45 Den(Calc)= 4.07"," {0001} Imperfect, {1010} Imperfect"," Reddish brown, Black.", 4.25, Translucent to Opaque," Brittle - Conchoidal - Very brittle fracture producing small, conchoidal fragments.", Prismatic - Crystals Shaped like Slender Prisms (e.g. tourmaline)., 5 - Apatite, Resinous," Fermion Index = 0.0049118745
Boson Index = 0.9950881255"," PEBritholite-(Y) = 53.53 barns/electron
U=PEBritholite-(Y) x rElectron Density= 206.58 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Britholite-(Y) is Not Radioactive"," 52.04.09.02 (52)Nesosilicate Insular SiO4 Groups and O, OH, F, and H2O", 09.AH.25 09 - SILICATES (Germanates), NAME( AntBidBlaNic2) PHYS. PROP.(AntBidBlaNic2) OPTIC PROP.(AntBidBlaNic2),Britholite-(Y), pale brown," CI meas= 0.079 (Fair) - where the CI = (1-KPDmeas/KC)
CI calc= 0.038 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1818,KPDmeas= 0.1741,KC= 0.189
Ncalc = 1.77 - 1.8"," Uniaxial (-), e=1.728-1.75, w=1.73-1.752, bire=0.0020."
8," (Ca0.5,Na,K)4[Al4Si8O24]•12H2O"," Molecular Weight = 1,039.07 gm", Ca1.86Na0.03K0.2Mg0.02Sr0.03Al3.94Si8.03O24•13.16(H2O), Amygdaloidal cavities of basalt and related rocks. Renamed chabazite-Ca by IMA zeolite committee., Valid Species (Pre-IMA) 1792," Col de Lares, Val di Fassa, Italy. Link to MinDat.org Location Data."," From Gk. chabazios, tune or melody, one of twenty stones named in the poem Peri lithos, which extolled the virtues of minerals. The poem is ascribed to Orpheus, legendary founder of the Orphic cult, which flourished in", Chabazite-Ca + Pronunciation, Acadialite," a = 9.45, b = 9.44, c = 9.4, Z = 1; alpha = 91.18°, beta = 94.08°, gamma = 94.07° V = 834.14 Den(Calc)= 2.07", {1011} Imperfect," Colorless, Green, Yellow, White, Pink."," 2.05 - 2.15, Average = 2.09", Translucent to transparent, Brittle - Uneven - Very brittle fracture producing uneven fragments., Pseudo Cubic - Crystals show a cubic outline., 4 - Fluorite, Vitreous (Glassy)," Fermion Index = 0.01
Boson Index = 0.99"," PEChabazite-Ca = 2.39 barns/electron
U=PEChabazite-Ca x relectron= 5.04 barns/cc.","
GRapi = 11.07 (Gamma Ray American Petroleum Institute Units)
Concentration of Chabazite-Ca per GRapi unit = 9.03 (%)
Estimated Radioactivity from Chabazite-Ca - barely detectable", 77.01.02.01 (77)Tectosilicate Zeolite group, 09.GD.10 09 - SILICATES (Germanates), NAME( Duda&Rejl90) PHYS. PROP.(AntBidBlaNic2) OPTIC PROP.(Heinrich65),Chabazite-Ca, white," CI meas= 0.031 (Excellent) - where the CI = (1-KPDmeas/KC)
CI calc= 0.017 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2337,KPDmeas= 0.2304,KC= 0.2378
Ncalc = 1.49 - 1.51"," Biaxial (+/-), a=1.478-1.485, b=1.48-1.4895, g=1.48-1.49, bire=0.0020-0.0050, 2V(Calc)=0-36, 2V(Meas)=0-32. Dispersion none."
9, Ag2S, Molecular Weight = 247.80 gm, Ag2S, Low-temperature sulfide veins and in zones of secondary enrichment., Valid Species (Pre-IMA) 1855," Freiberg, Schneeberg, Annaberg, Germany. Link to MinDat.org Location Data."," From the Greek, akanta, meaning ""arrow."" After the Latin, argentum, meaning ""silver"". Argentite is stable above 179 C. Acanthite is stable below 179 deg. C.", Acanthite + Pronunciation, ICSD 30445," a = 4.229, b = 6.931, c = 7.862, Z = 4; beta = 99.61° V = 227.21 Den(Calc)= 7.24"," {001} Poor, {110} Poor"," Lead gray, Gray, Iron black."," 7.2 - 7.4, Average = 7.3", Opaque," Sectile - Curved shavings or scrapings produced by a knife blade, (e.g. graphite).", Skeletal - Crystals form crude outlines with missing faces., 2-2.5 - Gypsum-Finger Nail, Metallic," Fermion Index = 0.0009705112
Boson Index = 0.9990294888"," PEAcanthite = 224.26 barns/electron
U=PEAcanthite x rElectron Density=1,441.48 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Acanthite is Not Radioactive", 02.04.01.01 (02)Sulfides - Including Selenides and Tellurides," 02.BA.30a 02 - SULFIDES and SULFOSALTS (sulfides, selenides, tellurides; arsenides, antimonides, bismuthides; sulfarsenites, sulf"," NAME( Duda&Rejl90) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(AntBidBlaNic1)",Acanthite, shining black,,
