,mineral_name,2v,art & architecture thesaurus id (p1014),babelnet id (p2581),birefringence,caption,class,cleavage,colour,commons category (p373),crystal system (p556),dana,dana 8th edition (p714),density,described by source (p1343),description,diaphaneity,dispersion,elhuyar zth id (p4746),encyclopædia britannica online id (p1417),encyclopædia universalis id (p3219),fluorescence,fracture,freebase id (p646),google knowledge graph id (p2671),gran enciclopèdia catalana id (p1296),gravity,great russian encyclopedia online id (p2924),habit,"ima number, broad sense (p484)",ima status and/or rank (p579),kbpedia id (p8408),kivid.info id (p7348),luster,microsoft academic id (p6366),mindat mineral id (p6263),mohs,mohs' hardness (p1088),molweight,name,named after (p138),"nickel-strunz '10th ed', review of (9th ed/ 2009 update) (p713)",nickel-strunz 9th edition (updated 2009) (p712),opticalprop,other,pleochroism,refractive,solid solution series with (p2155),solubility,space group (p690),store norske leksikon id (p4342),streak,streak color (p534),strunz,"strunz 8th edition (series id, updated) (p711)",subclass of (p279),symmetry,system,tenacity,twinning,type locality (geology) (p2695),unit cell,wolfram language entity code (p4839)
0,abellaite,,,,,"White albellaite crystals from the Eureka mine, in Catalonia",6mm - Dihexagonal-pyramidal,,,Abellaite,trigonal crystal system (Q588274),,,,,Hydrous carbonate mineral,,,,,,,,,/g/11c0xt4tkn,,,,,IMA2014-111,approved mineral and/or valid name (A) (Q13406835),,,,,,,,,Abellaite [Abe],Joan Abella i Creus (Q23713756),,,,,,,,,space group P6₃mc (Q15041640),,,,,,carbonate and nitrate class of minerals (Q1073138),''P31c'' (no. 159),[[Hexagonal]],,,,,
1,abelsonite,,,,,"Abelsonite from the [[Green River Formation]], Uintah County, Utah, US",[[Organic minerals]],Probable on {11 {{overbar|1}} },,Abelsonite,triclinic crystal system (Q376927),50.4.9.1,50.4.9.1,,,"Organic mineral, a nickel porphyrine derivative",Semitransparent,,,,,Non-fluorescent,Fragile,/m/07gvm_,,,1.45,,,IMA1975-013,approved mineral and/or valid name (A) (Q13406835),,,"Adamantine, sub-metallic",2780644631,"['1', '11664', '11665']",2&ndash;3,,,Abelsonite [Abl],Philip Abelson (Q377815),10.CA.20,10.CA.20,Biaxial,,,,,,space group P-1 (Q104519742),,Pink,pink (Q429220),10.CA.20,,organic class of minerals (Q4335792),P {{overline|1}} (No. 2) {{sfn|Hummer|Noll|Hazen|Downs|2017|pp|=|1129-1132}},[[Triclinic]],,,,"a = 8.508, b = 11.185 Å<br>c = 7.299&nbsp;[Å], α = 90.85°<br>β = 114.1°, γ = 79.99° <br/>Z&nbsp;=&nbsp;1","Entity[""Mineral"", ""Abelsonite""]"
2,abenakiite-(ce),,,,,,Rhombohedral ( {{overline|3}} ) <br/>[[H-M symbol]]: ( {{overline|3}} ),"{0001}, poor",,,trigonal crystal system (Q588274),,,,,Cyclosilicate mineral,,,,,,,Conchoidal,/m/07gvwp,,,"3.21 (meas.), 3.27 (calc.)",,,IMA1991-054,approved mineral and/or valid name (A) (Q13406835),,,Vitreous,2777855543,2,4-5,,,Abenakiite-(Ce) [Abk-Ce],"['Abenaki people (Q318806)', 'ethnic group (Q41710)']",9.CK.10,9.CK.10,Uniaxial (-),,,"nω=1.59, nε=1.57",,,space group R-3 (Q15040797),,White,white (Q23444),9.CK.10,VIII/E.17,cyclosilicates (Q11515780),''R'' {{overline|3}},[[Trigonal crystal system|Trigonal]],,,Poudrette quarry (Q23790564),"a = 16.02, c = 19.76&nbsp;[Å], Z&nbsp;=&nbsp;3",
3,abernathyite,5° (measured),,,δ = 0.027 – 0.038,Pale yellow abernathyite crystals and green [[heinrichite]] crystals,Ditetragonal dipyramidal (4/mmm) <br/>[[H-M symbol]]: (4/m 2/m 2/m),Perfect on {001},,Abernathyite,tetragonal crystal system (Q503601),40.2a.9.1,40.2a.9.1,,"Abernathyite, a new uranium mineral of the metatorbernite group (Q38318243)",,Transparent,,,,,Yellow-green in longwave and shortwave UV,,/m/07gv_w,,,3.32 (measured) 3.572 (calculated),,,,grandfathered mineral (G) (Q13406846),,,"Sub-Vitreous, resinous, waxy, greasy",,11667,2.5–3,,,Abernathyite [Abn],Jesse E. Abernathy (Q38358129),8.EB.15,8.EB.15,Uniaxial (-),[[Image:Radioactive.svg|25px]] [[Radioactive]],Weak,n<sub>ω</sub> = 1.597 – 1.608<br>n<sub>ε</sub> = 1.570,,,,,Pale yellow,,8.EB.15,VII/E.02,autunite mineral group (Q3777564),''P4/ncc'',[[Tetragonal crystal system|Tetragonal]],Brittle,,Temple Mountain (Q24067217),"a = 7.176, c = 18.126&nbsp;[Å] <br/>Z&nbsp;=&nbsp;4","Entity[""Mineral"", ""Abernathyite""]"
4,abhurite,,,,δ = 0.050,"Brownish tabular crystals of abhurite from Shipwreck ""Hydra"", South coast of Norway",Trapezohedral (32) <br/>[[H-M symbol]]: (32),None,,Abhurite,trigonal crystal system (Q588274),,10.5.9.1,,,,Transparent,,,,,,Hackly,/m/07gw30,,,4.42,,"Platy, thin crystals, cryptocrystalline crusts",IMA1983-061,approved mineral and/or valid name (A) (Q13406835),,,,,"['4', '11669']",2,"{'amount': '+2', 'unit': '1'}",,Abhurite [Abh],naming locality (Q22815296),3.DA.30,3.DA.30,Uniaxial (+),,,n<sub>ω</sub> = 2.060 n<sub>ε</sub> = 2.110,,,,abhuritt,White,,3.DA.30,III/D.05,halide class of minerals (Q729283),''R32'',[[Trigonal]],Fragile,On 0001,,"a = 10.0175 Å, c = 44.014 Å; Z=3","Entity[""Mineral"", ""Abhurite""]"
5,abramovite,,,,,,Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>,Perfect on {100},,Abramovite,triclinic crystal system (Q376927),03.01.03.03,,,,,Opaque,,,,,,,/m/0gmbrgv,,,,,Encrustations - Forms crust-like aggregates on matrix,IMA2006-016,approved mineral and/or valid name (A) (Q13406835),,,Metallic,,,,,"1,066.44 g/mol",Abramovite [Abm],Dmitry Vadimovich Abramov (Q15020950),2.HF.25a,2.HF.25a,,,,,,,,,Black,black (Q23445),2.HF.25a (10th edition),,sulfosalt subclass of minerals (Q416949),''P'' {{overline|1}},[[Triclinic]],,[[Lamellar]] on {100},Kudriavy volcano (Q2229474),"a = 23.4&nbsp;[[Ångstrom|Å]], b = 5.77&nbsp;Å <br/>c = 5.83&nbsp;Å; α = 89.1° <br/>β = 89.9°, γ = 91.5°; Z&nbsp;=&nbsp;4",
6,abswurmbachite,,,,,,,,,,tetragonal crystal system (Q503601),,,,,,,,,,,,,/m/07gw5h,,,,,,IMA1990-007,approved mineral and/or valid name (A) (Q13406835),,,,,"['9', '11676']",,"{'amount': '+6.5', 'unit': '1'}",,,Irmgard Abs-Wurmbach (Q15030243),9.AG.05,9.AG.05,,,,,,,,,,,,VIII/B.09,braunite mineral group (Q3777638),,,,,"['Euboea (Q173096)', 'Andros (Q175741)']",,"Entity[""Mineral"", ""Abswurmbachite""]"
7,abuite,,,,,,,,,Abuite,orthorhombic crystal system (Q648961),,,,,,,,,,,,,,/g/11bwf13hhx,,,,,IMA2014-084,approved mineral and/or valid name (A) (Q13406835),,,,,,,,,,Abu (Q1349028),,,,,,,,,space group P2₁2₁2₁ (Q13371295),,,,,,phosphate class of minerals (Q3092395),,,,,Abu (Q1349028),,
8,acanthite,,,,,"Crystallized acanthite (4.0 × 2.5 × 1.5 cm) from Imiter mine, [[Jbel Saghro]] mountain range, Morocco",Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,Indistinct,,Acanthite,monoclinic crystal system (Q624543),,2.4.1.1,,,,Opaque,,,science/acanthite,argentite,,Uneven,/m/0bmd8v6,,,7.20 - 7.22,,"Primary crystals rare, prismatic to long prismatic, elongated along [001], may be tubular; massive. Commonly paramorphic after the cubic high-temperature phase (“argentite”), of original cubic or octahedral habit",,grandfathered mineral (G) (Q13406846),Acanthite,1371.0,Metallic,2780059572,"['10', '11678', '11679']",2.0 - 2.5,,,Acanthite [Aca],spine (Q201851),2.BA.35,2.BA.30,,,,,,,,akanthitt,Black,black (Q23445),2.BA.30a,II/B.05,sulfide class of minerals (Q927407),''P''2<sub>1</sub>/n,[[Monoclinic]],Sectile,"Polysynthetic on {111}, may be very complex due to inversion; contact on {101}",Jáchymov (Q830418),"a = 4.229&nbsp;Å, b = 6.931&nbsp;Å <br/>c = 7.862&nbsp;Å; β = 99.61°; Z&nbsp;=&nbsp;4",
9,achalaite,,,,,Achalaite,,,,,monoclinic crystal system (Q624543),,,6.285 g/cm<sup>3</sup>,,,,,,,,,,,/g/11btwrddt8,,6.285,,fibrous,IMA2013-103,approved mineral and/or valid name (A) (Q13406835),,,metallic,,,5.5,,,Achalaite [Ahl],Achala granite batholith (Q105426425),,,,,Non-pleochroic,,,,space group C2/c (Q103888918),,black,,4.D0.,,wodginite (Q4020618),,[[Monoclinic]],,,,"a = 9.422(4)&nbsp;[Å], b = 11.427(3)&nbsp;[Å] <br/>c = 5.120(1)&nbsp;[Å]; β = 90.12°; Z&nbsp;=&nbsp;4",
