Unnamed: 0	name	category	formula	strunz	system	symmetry	unit cell	color	cleavage	fracture	mohs	luster	opticalprop	streak	gravity	diaphaneity	refractive	class	birefringence	habit
0	Abelsonite [Abl]	Organic minerals	C<sub>31</sub>H<sub>32</sub>N<sub>4</sub>Ni	10.CA.20	Triclinic	P {{overline|1}} (No. 2) {{sfn|Hummer|Noll|Hazen|Downs|2017|pp|=|1129-1132}}	a = 8.508, b = 11.185 Å<br>c = 7.299&nbsp;[Å], α = 90.85°<br>β = 114.1°, γ = 79.99° <br/>Z&nbsp;=&nbsp;1	Pink-purple, dark greyish purple, pale purplish red, reddish brown	Probable on {11 {{overbar|1}} }	Fragile	2&ndash;3	Adamantine, sub-metallic	Biaxial	Pink	1.45	Semitransparent				
1	Abenakiite-(Ce) [Abk-Ce]	Silicate, Cyclosilicate	Na<sub>26</sub>Ce<sub>6</sub>(SiO<sub>3</sub>)<sub>6</sub>(PO<sub>4</sub>)<sub>6</sub>(CO<sub>3</sub>)<sub>6</sub>(S<sup>4+</sup>O<sub>2</sub>)O	9.CK.10	Trigonal crystal system,Trigonal	''R'' {{overline|3}}	a = 16.02, c = 19.76&nbsp;[Å], Z&nbsp;=&nbsp;3	Pale brown	{0001}, poor	Conchoidal	4-5	Vitreous	Uniaxial (-)	White	3.21 (meas.), 3.27 (calc.)		nω=1.59, nε=1.57	Rhombohedral ( {{overline|3}} ) <br/>[[H-M symbol]]: ( {{overline|3}} )		
2	Abernathyite [Abn]	Arsenate minerals	K(UO<sub>2</sub>)(AsO<sub>4</sub>)·3H<sub>2</sub>O	8.EB.15	Tetragonal crystal system,Tetragonal	''P4/ncc''	a = 7.176, c = 18.126&nbsp;[Å] <br/>Z&nbsp;=&nbsp;4	Yellow	Perfect on {001}		2.5–3	Sub-Vitreous, resinous, waxy, greasy	Uniaxial (-)	Pale yellow	3.32 (measured) 3.572 (calculated)	Transparent	n<sub>ω</sub> = 1.597 – 1.608<br>n<sub>ε</sub> = 1.570	Ditetragonal dipyramidal (4/mmm) <br/>[[H-M symbol]]: (4/m 2/m 2/m)	δ = 0.027 – 0.038	
3	Abhurite [Abh]	Halide mineral	Sn<sub>21</sub>O<sub>6</sub>(OH)<sub>14</sub>Cl<sub>16</sub>	3.DA.30	Trigonal	''R32''	a = 10.0175 Å, c = 44.014 Å; Z=3	Colorless	None	Hackly	2		Uniaxial (+)	White	4.42	Transparent	n<sub>ω</sub> = 2.060 n<sub>ε</sub> = 2.110	Trapezohedral (32) <br/>[[H-M symbol]]: (32)	δ = 0.050	Platy, thin crystals, cryptocrystalline crusts
4	Abramovite [Abm]	Sulfide minerals,Sulfides and Sulfosalt minerals,Sulfosalts	[[Lead|Pb]]<sub>2</sub>[[Tin|Sn]][[Indium|In]][[Bismuth|Bi]][[Sulfur|S]]<sub>7</sub>	2.HF.25a (10th edition)	Triclinic	''P'' {{overline|1}}	a = 23.4&nbsp;[[Ångstrom|Å]], b = 5.77&nbsp;Å <br/>c = 5.83&nbsp;Å; α = 89.1° <br/>β = 89.9°, γ = 91.5°; Z&nbsp;=&nbsp;4	Silver gray	Perfect on {100}			Metallic		Black		Opaque		Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>		Encrustations - Forms crust-like aggregates on matrix
6	Acanthite [Aca]	Sulfide mineral	Ag<sub>2</sub>S	2.BA.30a	Monoclinic	''P''2<sub>1</sub>/n	a = 4.229&nbsp;Å, b = 6.931&nbsp;Å <br/>c = 7.862&nbsp;Å; β = 99.61°; Z&nbsp;=&nbsp;4	Iron-black	Indistinct	Uneven	2.0 - 2.5	Metallic		Black	7.20 - 7.22	Opaque		Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>		Primary crystals rare, prismatic to long prismatic, elongated along [001], may be tubular; massive. Commonly paramorphic after the cubic high-temperature phase (“argentite”), of original cubic or octahedral habit
7	Achávalite [Ahv]	Selenide mineral	(Fe,Cu)Se	2.CC.05	Hexagonal crystal system,Hexagonal	''P''6<sub>3</sub>/mmc	a = 3.636, c = 5.946&nbsp;[Å], Z&nbsp;=&nbsp;2	Dark grey			2.5	Metallic		Grey-black	6.53	Opaque		Dihexagonal dipyramidal (6/mmm) <br/>[[H-M symbol]]: (6/m 2/m 2/m)		
8	Actinolite [Act]	Inosilicates	Ca<sub>2</sub>(Mg<sub>4.5-2.5</sub>Fe<sup>2+</sup><sub>0.5-2.5</sub>) <br/>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>	9.DE.10	Monoclinic	''C2/m''		pale to dark green, yellowish green and black. White or grey when in asbestos	perfect along {110}.	uneven	5–6	vitreous to dull	Biaxial (-)	white	3.00 (+0.10, -0.05)	translucent to transparent	n<sub>α</sub> = 1.613–1.628<br/> n<sub>β</sub> = 1.627–1.644<br/> n<sub>γ</sub> = 1.638–1.655	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	0.0250-0.0270	bladed, fibrous, radial
9	Acuminite [Acu]	Halide mineral	SrAlF<sub>4</sub>OH·(H<sub>2</sub>O)	3.CC.10	Monoclinic	''C2/c''	a = 13.223, b = 5.175 <br/>c = 14.251&nbsp;[Å]; β = 11.61°; Z&nbsp;=&nbsp;8	White	Perfect on {001}		3.5	Vitreous	Biaxial (+)		3.295	Transparent	n<sub>α</sub> = 1.451 n<sub>β</sub> = 1.453 n<sub>γ</sub> = 1.462 - 1.463	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>		Clusters of acute dipyramidal Spearhead shaped crystals
11	Adamsite-(Y) [Ads-Y]		NaY(CO<sub>3</sub>)<sub>2</sub>·6H<sub>2</sub>O	5.CC.30	Triclinic	''P'' {{overline|1}}					3.0							Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>		
