,name,image,caption,category,formula,strunz,system,dana,class,symmetry,unit cell,habit,cleavage,mohs,luster,opticalprop,refractive,birefringence,streak,density,diaphaneity,impurities,colour,post_town,var6text,postcode_district,polish,population,unitary_scotland,diagnostic,melt,death_place,birth_place,field,var1,var4,official_name,dispersion,coordinates,static_image_caption,country,fluorescence,color,boxtextcolor,known_for,solubility,lieutenancy_scotland,alteration,var3text,constituency_scottish_parliament,birth_date,count,other,residence,var5,twinning,image_size,imagesize,alt,fusibility,fracture,tenacity,var6,os_grid_reference,var1text,var5text,molweight,gravity,death_date,absorption,var4text,postcode_area,prop1,pleochroism,prop1text,var3,constituency_westminster,lustre,2V,boxwidth,boxes,boxbgcolor,var2text,references,var2
0,Hafnon,Hafnon.jpg,"Very small brown single crystals of hafnon from Bernic Lake, Lac-du-Bonnet District, Manitoba, Canada",[[Nesosilicate]]s,[[Hafnium silicate]] (HfSiO<sub>4</sub>),09.AD.30,[[Tetragonal]],51.05.02.02,Ditetragonal Dipyramidal (4/mmm ) <br/>[[H-M symbol]]: (4/m 2/m 2/m),''I''4<sub>1</sub>/amd,"a = 6.5725(7) Å, c = 5.9632(4) Å=; Z = 4",Euhedral to irregular crystals,{???} Indistinct,7.5,Vitreous,Uniaxial (+),n<sub>ω</sub> = 1.930 - 1.970 n<sub>ε</sub> = 1.980 - 2.030,δ = 0.050,grey white,6.97,Transparent,Often zoned with zircon. Forms part of zircon-hafnon series,"Orange-red,brownish yellow, rarely colourless",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cerianite-(Ce),Cerianite-(Ce).jpg,"Yellow powder of the very rare mineral cerianite-(Ce) from Morro do Ferro, Caldas, Minas Gerais, [[Brazil]].",[[Oxide]],"{{chem|(Ce,|Th)|O|2}}",,[[Cubic crystal system|Isometric]],,Hexoctahedral (m {{overline|3}} m) <br/>[[H-M symbol]]: (4/m {{overline|3}} 2/m),''Fm'' {{overline|3}} m,a = 5.42&nbsp;Å; Z&nbsp;=&nbsp;4,"octahedra; earthy, massive",,,,,,,,"7.20 (synth. material, calc.; approximated)",Translucent or transparent,,,,,,,,,,,,,,,,,,,,,,"Dark greenish amber-yellow, yellow, buff",,,,,,,,,,[[Image:Radioactive.svg|25px]] [[Radioactive]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Thorite,Thorite-288916.jpg,Thorite crystal from the Kemp uranium mine in Ontario (size: 2.2 x 2.2 x 1.6 cm),[[Silicate mineral]],"(Th,U)SiO<sub>4</sub>",9.AD.30,[[Tetragonal crystal system|Tetragonal]],,Ditetragonal dipyramidal (4/mmm) <br/>[[H-M symbol]]: (4/m 2/m 2/m),''I''4<sub>1</sub>/amd,"a = 7.13, c = 6.32&nbsp;[Å]; Z&nbsp;=&nbsp;4","In square prisms, or pseudo-octahedral crystals; also massive",Distinct on {110},4.5 – 5,Vitreous to resinous,Uniaxial (-),n<sub>ω</sub> = 1.790 – 1.840 n<sub>ε</sub> = 1.780 – 1.820,δ = 0.010 – 0.020,Light orange to light brown sometimes even an alien magenta,,"Nearly opaque, transparent in thin fragments",,,,,,,,,,,,,,,,,,,,,,"Yellow-orange, brownish yellow, brownish black, black, green",,,,,Commonly metamict,,,,,[[Image:Radioactive.svg|25px]] [[Radioactive]],,,,,260px,,,Conchoidal,Brittle,,,,,,6.63 – 7.20,,,,,,,,,,,,,,#926339,,,
3,Zircon,Zircon-dtn1a.jpg,A lustrous crystal of zircon perched on a tan matrix of calcite from the [[Gilgit District]] of Pakistan,[[Nesosilicate]]s,[[zirconium silicate]] (ZrSiO<sub>4</sub>),9.AD.30,[[Tetragonal]],,Ditetragonal dipyramidal (4/mmm) <br/>[[H-M symbol]]: (4/m 2/m 2/m),''I''4<sub>1</sub>/amd (No. 141),"a = 6.607(1), c = 5.982(1)&nbsp;[Å]; Z&nbsp;=&nbsp;4","tabular to prismatic crystals, irregular grains, massive",{110} and {111},7.5,Vitreous to adamantine; greasy when [[metamict]].,Uniaxial (+),"n<sub>ω</sub> = 1.925–1.961 <br/>n<sub>ε</sub> = 1.980–2.015, 1.75 when metamict",δ = 0.047–0.055,White,,Transparent to opaque,,,,,,,,,,,,,,,,,,,,,,"Reddish brown, yellow, green, blue, gray, colorless; in thin section, colorless to pale brown",,,Insoluble,,,,,,,"[[Fluorescence|Fluorescent]] and [[Image:Radioactive.svg|25px]] [[Radioactive]],<br/>May form [[pleochroic halo]]s,<br/>Relief: high",,,On {101}. Crystals shocked by meteorite impact show polysynthetic twins on {112},,250px,,"close to 2,550 °C depend on Hf,Th,U,H,etc... concentrations.",Conchoidal to uneven,Brittle,,,,,,4.6–4.7,,,,,,Weak,,,,,,,,#b56042,,,
4,Coffinite,Blenda smolista + coffinit.jpg,[[Uraninite|Pitchblende]] and coffinite in a sample from a Czech mine,[[Silicate minerals|Nesosilicate]],U(SiO<sub>4</sub>)<sub>1−x</sub>(OH)<sub>4x</sub>,9.AD.30,[[Tetragonal]],,Ditetragonal dipyramidal (4/mmm) <br/>[[H-M symbol]]: (4/m 2/m 2/m),''I''4<sub>1</sub>/amd,"a = 6.97&nbsp;Å, c = 6.25&nbsp;Å; Z&nbsp;=&nbsp;4","Rarely as crystals, commonly as colloform to botryoidal incrustations, fibrous, pulverulent masses",,5–6,Dull to adamantine,Uniaxial (+/-),n<sub>α</sub> = 1.730–1.750 n<sub>β</sub> = 1.730–1.750,δ = 1.730,Grayish black,,"Opaque, transparent on thin edges",,,,,,,,,,,,,,,,,,,,,,Black (from organic inclusions; pale to dark brown in [[thin section]],,,,,[[Metamict]],,,,,"[[Image:Radioactive.svg|25px]] [[Radioactive]]
72.63% (U)",,,,,260px,,,Irregular to subconchoidal,Brittle to friable,,,,,,5.1,,,,,,Moderate; pale yellow-brown parallel to and medium brown perpendicular to long axis,,,,,,,,#b46d4e,,,
5,William Niven,Niven-William-mineralogist.jpg,"William Niven, mineralogist, circa 1895",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Austin, Texas]], [[United States]]","[[Bellshill]], [[Lanarkshire]], [[Scotland]]","[[Mineralogy]], [[archeology]]",,,,,,,,,,,"Mineral discoveries; ""Niven tablets""",,,,,,6 October 1850,,,"Scotland, United States",,,200 px,,,,,,,,,,,,{{d-da|2 June 1937|6 October 1850}},,,,,,,,,,,,,,,,
6,Fayalite,"Fayalite crystal group - Ochtendung, Eifel, Germany.jpg","Fayalite crystals on substrate. Sample collected from Ochtendung, Eifel, Germany",[[Nesosilicate]],Fe<sub>2</sub>SiO<sub>4</sub>,9.AC.05,[[Orthorhombic]],,Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m),''Pbnm'',"a = 4.8211, b = 10.4779 <br/>c = 6.0889&nbsp;[Å]; Z&nbsp;=&nbsp;4","Commonly granular, compact, or massive","{010} moderate, {100} imperfect",6.5 – 7.0,Vitreous to resinous on fractures,Biaxial (-),n<sub>α</sub> = 1.731 – 1.824 n<sub>β</sub> = 1.760 – 1.864 n<sub>γ</sub> = 1.773 – 1.875,δ = 0.042 – 0.051,White,,Transparent,,,,,,,,,,,,,,,,,,,,,,"Greenish yellow, yellow-brown, brown; pale yellow to amber in thin section",,,,,,,,,,,,,"On [100]; also on [031], as trillings",,260px,,,Conchoidal,,,,,,{{chem molar mass|Fe|=|2|Si|=|1|O|=|4}},4.392,,,,,,Faint,,,,,"Measured: 74° to 47°, Calculated: 54° to 66°",,,,,,
7,Forsterite,"Forsterite on Sanidine - Ochtendung, Eifel, Germany.jpg",Forsterite (big tabular and colorless) on [[sanidine]] (little colorless crystals)<br />with [[hematite]] (reddish),[[Nesosilicates]],[[Magnesium]] [[silicate]] ([[Magnesium|Mg]]<sub>2</sub>[[Silicon|Si]][[Oxygen|O]]<sub>4</sub>),9.AC.05,[[Orthorhombic]],,Dipyramidal (mmm) <br/>[[H-M Symbol]]: (2/m 2/m 2/m),''Pbnm'',"a = 4.7540 [[Ångström|Å]], b = 10.1971&nbsp;Å <br/>c = 5.9806&nbsp;Å; Z&nbsp;=&nbsp;4","Dipyramidal prisms often tabular, commonly granular or compact massive",Perfect on {010} imperfect on {100},7,Vitreous,Biaxial (+),n<sub>α</sub> = 1.636 – 1.730 n<sub>β</sub> = 1.650 – 1.739 n<sub>γ</sub> = 1.669 – 1.772,δ = 0.033 – 0.042,White,,Transparent to translucent,,,,,,,,,,1890 °C,,,,,,,,,,,,"Colorless, green, yellow, yellow green, white",,,,,,,,,,,,,"On {100}, {011} and {012}",,260px,,,[[Conchoidal]],,,,,,{{Chem molar mass|Mg|=|2|Si|=|1|O|=|4}},3.21 – 3.33,,,,,,,,,,,82°,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Bunsenite,"Bunsenite - Kochhütte, Helbra, Mansfeld-Südharz, Saxony-Anhalt, Germany.jpg","Bunsenite with unknown colorless crystals from the collection of the „Verein zur Förderung der Lithothek e.V.“ Munich (collection number A022658). Field of view 1 mm. Locality: Kochhütte, Helbra, Mansfeld-Südharz, Saxony-Anhalt, [[Germany]]",[[Oxide mineral]],NiO,4.AB.25,[[Cubic crystal system|Cubic]],,Hexoctahedral (m {{overline|3}} m) <br/>[[H-M symbol]]: (4/m {{overline|3}} 2/m),''F''m {{overline|3}} m,a = 4.1769&nbsp;Å; Z&nbsp;=&nbsp;4,"Octahedral crystal coatings, also cube or dodecahedron forms",None,5.5,Vitreous,Isotropic,n = 2.37,,Brownish-black,,Transparent,,,,,,,,,,,,,,,,,,,,,,Dark pistachio-green,,,,,,,,,,Very high relief,,,Observed,,,,,,,,,,,,6.898,,,,,,,,,,,,,,,,,
